one,two,three,five,seven,ten,twenty,thirty
1.82,1.95,2.04,2.27,2.38,2.46,2.63,2.8
1.78,1.98,2.09,2.32,2.46,2.54,2.71,2.87
1.79,2.05,2.16,2.41,2.53,2.59,2.74,2.87
1.79,2.09,2.21,2.44,2.57,2.65,2.78,2.91
1.87,2.14,2.3,2.53,2.68,2.75,2.88,2.99
1.89,2.1,2.29,2.54,2.72,2.82,2.98,3.1
1.97,2.15,2.36,2.61,2.8,2.87,3.03,3.14
2.02,2.25,2.41,2.66,2.83,2.91,3.07,3.19
2.06,2.24,2.4,2.63,2.79,2.86,3.02,3.14
2.05,2.25,2.42,2.65,2.81,2.88,3.03,3.15
2.06,2.28,2.42,2.63,2.77,2.84,2.96,3.08
2.06,2.31,2.45,2.65,2.78,2.86,2.97,3.09
2.09,2.29,2.41,2.59,2.72,2.79,2.9,3.02
2.07,2.28,2.41,2.6,2.72,2.78,2.9,3.02
2.1,2.33,2.47,2.64,2.75,2.8,2.9,3.02
2.18,2.42,2.56,2.73,2.83,2.88,2.96,3.07
2.25,2.49,2.63,2.82,2.95,2.99,3.07,3.17
2.24,2.5,2.63,2.79,2.91,2.96,3.02,3.12
2.27,2.52,2.67,2.82,2.93,2.97,3.04,3.13
2.31,2.57,2.73,2.91,3.03,3.07,3.14,3.2
2.31,2.54,2.68,2.84,2.96,3.01,3.09,3.16
2.23,2.4,2.53,2.67,2.78,2.83,2.92,3
2.31,2.51,2.63,2.78,2.89,2.94,3.01,3.09
2.34,2.56,2.68,2.82,2.91,2.95,3.01,3.08
2.34,2.56,2.66,2.78,2.87,2.91,2.97,3.04
2.33,2.53,2.62,2.73,2.82,2.85,2.92,2.99
2.33,2.55,2.64,2.73,2.8,2.84,2.89,2.96
2.36,2.59,2.67,2.75,2.82,2.85,2.89,2.95
2.4,2.6,2.68,2.76,2.83,2.86,2.92,2.98
2.42,2.66,2.75,2.84,2.92,2.96,3.03,3.09
2.44,2.66,2.76,2.85,2.93,2.97,3.05,3.11
2.44,2.65,2.74,2.8,2.89,2.94,3.02,3.09
2.44,2.62,2.69,2.75,2.82,2.87,2.96,3.04
2.44,2.61,2.66,2.71,2.78,2.83,2.91,2.98
2.47,2.65,2.72,2.76,2.83,2.87,2.94,3.01
2.5,2.67,2.74,2.78,2.86,2.91,3,3.08
2.55,2.75,2.82,2.87,2.93,2.97,3.05,3.11
2.58,2.8,2.88,2.94,3.01,3.05,3.13,3.19
2.59,2.83,2.89,2.96,3.03,3.07,3.14,3.2
2.62,2.85,2.94,3.01,3.09,3.14,3.24,3.3
2.66,2.87,2.96,3.03,3.12,3.18,3.28,3.35
2.67,2.88,2.96,3.03,3.12,3.18,3.28,3.35
2.66,2.86,2.92,2.98,3.06,3.14,3.27,3.35
2.67,2.85,2.92,2.97,3.06,3.14,3.29,3.38
2.73,2.94,3.02,3.06,3.14,3.21,3.34,3.42
2.7,2.86,2.91,2.95,3.03,3.11,3.26,3.35
2.67,2.8,2.83,2.88,2.97,3.06,3.22,3.31
2.7,2.82,2.84,2.87,2.96,3.05,3.21,3.32
2.7,2.78,2.78,2.77,2.83,2.9,3.06,3.18
2.69,2.75,2.75,2.74,2.81,2.89,3.03,3.14
2.64,2.66,2.64,2.65,2.73,2.81,2.94,3.05
2.59,2.56,2.55,2.6,2.68,2.76,2.91,3.04
2.58,2.47,2.44,2.47,2.54,2.65,2.82,2.97
2.59,2.56,2.53,2.55,2.62,2.72,2.89,3.02
2.58,2.56,2.54,2.56,2.64,2.74,2.93,3.07
2.59,2.58,2.56,2.58,2.65,2.75,2.91,3.06
2.58,2.53,2.51,2.51,2.59,2.7,2.89,3.04
2.56,2.5,2.48,2.49,2.58,2.68,2.87,3.02
2.55,2.51,2.49,2.49,2.58,2.67,2.86,3.01
2.55,2.5,2.47,2.48,2.56,2.66,2.86,3.02
2.55,2.51,2.49,2.5,2.6,2.7,2.91,3.07
2.53,2.51,2.48,2.48,2.58,2.68,2.89,3.05
2.52,2.45,2.42,2.42,2.51,2.62,2.84,3.02
2.48,2.41,2.35,2.35,2.45,2.55,2.79,2.97
2.41,2.24,2.18,2.2,2.3,2.41,2.65,2.84
2.41,2.33,2.29,2.31,2.4,2.5,2.72,2.91
2.43,2.35,2.31,2.32,2.41,2.52,2.74,2.93
2.44,2.4,2.37,2.39,2.48,2.58,2.79,2.98
2.43,2.33,2.3,2.34,2.43,2.55,2.78,2.95
2.4,2.31,2.28,2.32,2.42,2.53,2.76,2.94
2.37,2.28,2.24,2.27,2.37,2.47,2.7,2.88
2.32,2.19,2.15,2.18,2.28,2.4,2.65,2.83
2.34,2.2,2.14,2.17,2.27,2.37,2.62,2.8
2.28,2.06,2,2.02,2.12,2.22,2.47,2.66
2.05,1.85,1.82,1.86,1.99,2.1,2.39,2.59
2.02,1.88,1.83,1.88,2,2.12,2.4,2.61
1.98,1.79,1.75,1.8,1.92,2.05,2.34,2.56
1.93,1.74,1.7,1.76,1.88,2.02,2.32,2.54
1.94,1.8,1.75,1.78,1.88,2,2.31,2.52
1.97,1.86,1.83,1.86,1.96,2.09,2.37,2.59
1.95,1.82,1.79,1.83,1.94,2.07,2.37,2.59
1.98,1.84,1.8,1.83,1.94,2.07,2.37,2.59
1.94,1.81,1.76,1.77,1.86,1.98,2.28,2.51
1.78,1.61,1.54,1.54,1.62,1.73,2.03,2.26
1.77,1.56,1.5,1.48,1.54,1.6,1.86,2.06
1.75,1.54,1.48,1.45,1.52,1.58,1.86,2.06
1.75,1.52,1.44,1.4,1.45,1.5,1.79,1.98
1.72,1.5,1.42,1.38,1.46,1.52,1.81,2
1.81,1.69,1.64,1.61,1.69,1.76,2.03,2.22
1.86,1.73,1.68,1.66,1.74,1.8,2.06,2.24
1.79,1.65,1.59,1.57,1.63,1.7,1.96,2.14
1.66,1.49,1.44,1.43,1.52,1.6,1.89,2.07
